Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,rsi,macd,signal,Daily Return,Cumulative Return,Volatility,Upper Band,Lower Band,Position,Strategy Return,Cumulative Strategy Return,Cumulative Market Return
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2021-05-04,1211.820068359375,1235.110209341489,1206.9887870179764,1234.2442774376989,4887060,,,31.1269893475843,,0,-0.016752360848970693,0.9597170819205457,0.011114961805307761,,,0,-0.0,1.0,0.9597170819205457
2021-05-05,1222.8499755859375,1225.0377279498152,1210.3617273891011,1222.48533164634,3939788,,,38.30935569250874,,0,0.009101934779389698,0.9684523642068528,0.010446750105490791,,,0,0.0,1.0,0.9684523642068528
2021-05-06,1241.1719970703125,1243.9977924271402,1219.1124331282124,1226.0402217921512,4810090,,,48.008568202391494,,0,0.014983049311176444,0.9829627337352894,0.011136083832197942,,,0,0.0,1.0,0.9829627337352894
2021-05-07,1232.9224853515625,1251.6093435359276,1229.2306469081027,1244.5447995881798,4991435,,,44.60786925477425,,0,-0.006646549985193317,0.9764294227919356,0.010578344364263036,,,0,-0.0,1.0,0.9764294227919356
2021-05-10,1221.072265625,1233.2414898723657,1216.9702724220438,1230.4612055253317,7195348,,,40.20247239193814,,0,-0.009611488043535399,0.9670444830694147,0.010438194789147962,,,0,-0.0,1.0,0.9670444830694147
2021-05-11,1212.95947265625,1222.3940352372351,1207.9003029450082,1218.6566857213006,6420988,,,37.473925501013916,-10.920120989886527,0,-0.006643990857164828,0.9606194483654298,0.01040672428325011,,,0,-0.0,1.0,0.9606194483654298
2021-05-12,1209.63232421875,1212.3669865945271,1198.237897653012,1212.3669865945271,5241898,,,36.383320564370706,-11.67749458214189,0,-0.0027430004979588363,0.9579844687402145,0.010288512471603782,,,0,-0.0,1.0,0.9579844687402145
2021-05-14,1199.9698486328125,1209.4955445408755,1195.3209449421486,1209.4955445408755,4824609,,,33.34797171907337,-12.908597362620412,0,-0.007987944264120195,0.9503321421980249,0.009598856395256605,,,0,-0.0,1.0,0.9503321421980249
2021-05-17,1211.820068359375,1216.8791269568849,1203.5249481291194,1203.5249481291194,5017129,,,39.96322270832223,-12.780713382099975,0,0.0098754312369298,0.9597170819205456,0.008320079110381514,,,0,0.0,1.0,0.9597170819205456
2021-05-18,1221.482421875,1225.6755482326694,1211.9111043901587,1219.6593137826494,5620150,,,44.77606375680143,-11.764084189481764,0,0.007973422596232682,0.9673693117875214,0.00850217713234316,,,0,0.0,1.0,0.9673693117875214
