Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2022-03-09,1685.611083984375,1702.5754883723225,1664.8355210309173,1664.8355210309173,10193515
2022-03-11,1693.6517333984375,1702.389586111316,1683.4266131638697,1686.2152823187519,4758657
2021-12-20,1672.1790771484375,1700.7629372431988,1661.3962453028737,1674.78176705806,5773891
2024-07-12,1692.479248046875,1700.3891846523227,1647.8870045728747,1661.0866871440046,17078316
2021-12-22,1696.1614990234375,1700.298093040654,1684.6815003040351,1696.440411328864,4156428
2022-04-07,1683.4266357421875,1699.3685506523263,1680.2197115595566,1692.7687229248352,5797544
2022-01-06,1689.7476806640625,1699.2291106192843,1673.2015312443718,1699.2291106192843,6449205
2025-03-04,1688.300048828125,1699.0,1670.0,1695.0,6759673
2021-10-19,1678.9119873046875,1690.2911392824826,1642.1945925739526,1671.402631048473,10324260
2024-02-06,1686.0213623046875,1689.482265094842,1631.915034715095,1644.3936587701817,7694265
2022-04-11,1642.10791015625,1686.2153161182562,1638.389684541877,1686.2153161182562,8248407
2024-02-07,1651.2177734375,1685.5826008994466,1644.4910174524653,1685.5826008994466,4613877
2021-11-16,1666.0439453125,1681.5209682629743,1651.821687309578,1663.9059202499407,6034233
2022-01-21,1659.9088134765625,1680.6379665274264,1650.892161810127,1668.5537333610237,8252758
2025-03-11,1661.5999755859375,1680.0,1637.050048828125,1680.0,12671234
2024-02-02,1650.827880859375,1675.3463573146996,1623.1898079307389,1624.2134887449383,7858483
2021-11-17,1661.5355224609375,1675.0606133120805,1655.261016833936,1666.276350822774,4732492
2022-03-08,1652.937255859375,1673.2016321258427,1597.39625723742,1597.39625723742,10984500
2021-11-15,1661.256591796875,1673.2013677557745,1650.4272380279876,1656.5622870155128,4354074
2021-10-21,1615.7967529296875,1671.4026567494793,1609.5312514537482,1671.4026567494793,8779629
2024-02-19,1657.0672607421875,1668.5222043007818,1645.319802937551,1662.1854270130489,3690993
2022-02-02,1661.2103271484375,1666.5088670537498,1647.1740472951942,1662.976507116875,4253717
2024-02-16,1658.91943359375,1666.0848419685713,1645.5633865705388,1646.5870673405013,4880654
2024-02-08,1649.6092529296875,1663.5014178096662,1640.5428588320553,1655.3611204353756,5919715
2021-11-18,1654.052734375,1663.3947084145373,1635.0897605071605,1656.097713132674,4326924
2021-12-03,1613.29150390625,1660.791808791306,1610.5028349681304,1646.3371627402282,6754012
2021-11-22,1635.4615478515625,1659.6300141776342,1627.7927075750206,1658.3286125273669,6621839
